local_time;kastemperatuur;buitentemperatuur;onderbuis;wind_zijde_raamstand;energiedoek
19/09/2022 3:10 PM;25.8;16.1;0;19.6;0
19/09/2022 3:15 PM;24.9;15.6;0;27.8;0
19/09/2022 3:20 PM;23.9;15.8;0;27.8;0
19/09/2022 3:25 PM;23.3;15.8;0;26.2;0
19/09/2022 3:30 PM;22.6;15.7;0;26.2;0
19/09/2022 3:35 PM;22.1;15.6;0;25.9;0
19/09/2022 3:40 PM;22.1;15.5;0;26.3;0
19/09/2022 3:45 PM;22.3;14;0;0;0
19/09/2022 3:50 PM;22.3;13.4;0;0;0
19/09/2022 3:55 PM;22.1;13.5;0;0;0
19/09/2022 4:00 PM;22.2;13.7;0;0;0
19/09/2022 4:05 PM;22.1;13.4;0;0;0
19/09/2022 4:10 PM;22.2;13.3;0;0;0
19/09/2022 4:15 PM;22.1;13.3;0;0;0
19/09/2022 4:20 PM;22.3;13.5;0;4.8;0
19/09/2022 4:25 PM;22.4;13.7;0;8.7;0
19/09/2022 4:30 PM;22.5;13.8;0;19.8;0
19/09/2022 4:35 PM;22.1;13.8;0;16.2;0
19/09/2022 4:40 PM;21.8;13.5;0;0;0
19/09/2022 4:45 PM;21.6;13.3;0;1.2;0
19/09/2022 4:50 PM;21.5;13.2;0;3;0
19/09/2022 4:55 PM;21.5;13.3;0;11.3;0
19/09/2022 5:00 PM;21.3;13.4;0;1.5;5
19/09/2022 5:05 PM;21.1;13.3;0;0;20.8
19/09/2022 5:10 PM;20.9;13.3;0;0;29.4
19/09/2022 5:15 PM;20.9;13.5;0;0;37.8
19/09/2022 5:20 PM;20.8;13.9;0;0;46.1
19/09/2022 5:25 PM;20.9;14.5;0;0;54.2
19/09/2022 5:30 PM;20.9;14.8;0;0;62.8
19/09/2022 5:35 PM;21;14.8;0;0;71.1
19/09/2022 5:40 PM;20.8;14.4;0;0;82.7
19/09/2022 5:45 PM;20.8;14.1;0;0;85.9
19/09/2022 5:50 PM;20.9;13.4;0;0;89
19/09/2022 5:55 PM;21;13.2;0;0;89
19/09/2022 6:00 PM;21.3;13.4;0;0;89
19/09/2022 6:05 PM;21.5;13.7;0;0;89
19/09/2022 6:10 PM;21.5;14;0;0;89
19/09/2022 6:15 PM;21.4;14.1;0;0;89
19/09/2022 6:20 PM;21.3;14.4;0;0;89
19/09/2022 6:25 PM;21.2;14.5;0;0;89
19/09/2022 6:30 PM;21.2;14.6;0;0;89
19/09/2022 6:35 PM;21.2;14.8;0;0;89
19/09/2022 6:40 PM;21.2;14.7;0;0;89
19/09/2022 6:45 PM;21.1;14.8;0;0;92.1
19/09/2022 6:50 PM;20.9;14.7;0;0;95.3
19/09/2022 6:55 PM;20.8;14.7;0;0;98.5
19/09/2022 7:00 PM;20.7;14.6;0;0;98.5
19/09/2022 7:05 PM;20.6;14.1;0;0;98.5
19/09/2022 7:10 PM;20.4;13.9;0;0;98.5
19/09/2022 7:15 PM;20.2;13.9;0;0;98.5
19/09/2022 7:20 PM;20.1;13.9;0;1.2;98.5
19/09/2022 7:25 PM;19.9;13.7;0;9.9;98.5
19/09/2022 7:30 PM;19.8;14;0;9.9;96.1
19/09/2022 7:35 PM;19.6;14.1;0;10.1;93.7
19/09/2022 7:40 PM;19.4;13.6;0;1.5;90.7
19/09/2022 7:45 PM;19.2;13.4;0;3;87.6
19/09/2022 7:50 PM;19;13.4;0;6.7;87.6
19/09/2022 7:55 PM;18.8;13.5;0;4.2;87.6
19/09/2022 8:00 PM;18.6;13.5;0;3.9;87.6
19/09/2022 8:05 PM;18.5;13.6;0;6.1;87.6
19/09/2022 8:10 PM;18.4;13.6;0;12.9;87.6
19/09/2022 8:15 PM;18.2;13.7;0;12.9;87.6
19/09/2022 8:20 PM;18.1;13.9;0;12.7;87.6
19/09/2022 8:25 PM;18;13.8;0;14.1;87.6
19/09/2022 8:30 PM;17.9;13.6;26.8;13.9;87.6
19/09/2022 8:35 PM;17.7;13.6;21.9;13.9;87.6
19/09/2022 8:40 PM;17.7;13.7;20.8;14.1;87.6
19/09/2022 8:45 PM;17.6;13.7;20;13.9;87.6
19/09/2022 8:50 PM;17.5;13.8;20.4;13.9;87.6
19/09/2022 8:55 PM;17.5;13.9;21.7;14.1;87.6
19/09/2022 9:00 PM;17.4;13.4;23;0;87.6
19/09/2022 9:05 PM;17.3;13.2;21.5;0;87.6
19/09/2022 9:10 PM;17.2;13.4;20.5;0.6;87.6
19/09/2022 9:15 PM;17.1;13.4;20.2;0;87.6
19/09/2022 9:20 PM;17;13.5;20.3;0;87.6
19/09/2022 9:25 PM;17;13.3;21.1;0;87.6
19/09/2022 9:30 PM;16.9;13.1;21.3;0;87.6
19/09/2022 9:35 PM;16.9;13.3;20.7;0.6;87.6
19/09/2022 9:40 PM;16.8;13.2;20.2;0;87.6
19/09/2022 9:45 PM;16.7;13.7;20.3;0;87.6
19/09/2022 9:50 PM;16.6;13.7;21.1;3.3;87.6
19/09/2022 9:55 PM;16.5;13.7;21.6;14.1;87.6
19/09/2022 10:00 PM;16.4;13.7;22;14.3;87.6
19/09/2022 10:05 PM;16.4;13.9;22.2;14.3;87.6
19/09/2022 10:10 PM;16.3;13.9;22.2;14.3;87.6
19/09/2022 10:15 PM;16.3;14.1;22.5;14.3;87.6
19/09/2022 10:20 PM;16.3;14;22.8;14.3;87.6
19/09/2022 10:25 PM;16.3;14.3;23.1;15.2;87.6
19/09/2022 10:30 PM;16.2;14.5;22.9;15.5;87.6
19/09/2022 10:35 PM;16.2;14.4;22.9;15.3;87.6
19/09/2022 10:40 PM;16.2;14.3;22.7;15.2;87.6
19/09/2022 10:45 PM;16.1;14.3;22.1;15.3;87.6
19/09/2022 10:50 PM;16;14.3;21.8;15.3;87.6
19/09/2022 10:55 PM;15.9;14.3;21.6;15.3;87.6
19/09/2022 11:00 PM;15.9;14.3;21.9;15.3;90.9
19/09/2022 11:05 PM;15.9;14.3;22;15.3;94
19/09/2022 11:10 PM;15.9;14.5;21.7;15.3;97
19/09/2022 11:15 PM;15.9;14.5;21.5;15.3;99.9
19/09/2022 11:20 PM;16;14.5;21.2;15.3;99.9
19/09/2022 11:25 PM;16.1;14.3;21.9;15.3;99.9
19/09/2022 11:30 PM;16.1;14.1;22;15.3;99.9
19/09/2022 11:35 PM;16.1;14;21.9;15.5;99.9
19/09/2022 11:40 PM;16.1;13.9;21.9;15.3;99.9
19/09/2022 11:45 PM;16.1;13.8;21.7;15.2;99.9
19/09/2022 11:50 PM;16.1;13.7;21.8;15.2;99.9
19/09/2022 11:55 PM;16.1;13.6;22;15.2;99.9
20/09/2022 12:00 AM;16;13.6;22.2;15.5;99.9
20/09/2022 12:05 AM;16;13.6;22.2;15.2;99.9
20/09/2022 12:10 AM;16;13.3;22.2;15.3;99.9
20/09/2022 12:15 AM;15.9;13.3;22.2;15.3;99.9
20/09/2022 12:20 AM;15.9;13.3;22.3;15.3;99.9
20/09/2022 12:25 AM;15.9;13.4;22.5;15.3;99.9
20/09/2022 12:30 AM;15.9;13.5;22.3;15.3;99.9
20/09/2022 12:35 AM;15.9;13.3;22.4;15.3;99.9
20/09/2022 12:40 AM;15.9;13.3;22.3;15.3;99.9
20/09/2022 12:45 AM;15.9;13.2;22;15.3;99.9
20/09/2022 12:50 AM;15.9;13.3;21.5;0.6;99.9
20/09/2022 12:55 AM;15.9;12.8;21.2;0.6;99.9
20/09/2022 1:00 AM;16;12.7;21.2;0;99.9
20/09/2022 1:05 AM;15.9;12.6;21.1;0;99.9
20/09/2022 1:10 AM;15.9;12.3;21.1;0;99.9
20/09/2022 1:15 AM;15.9;12.2;20.7;0;99.9
20/09/2022 1:20 AM;15.9;12;20.5;0;99.9
20/09/2022 1:25 AM;15.9;12;20.2;0;99.9
20/09/2022 1:30 AM;15.9;12;20.2;0;99.9
20/09/2022 1:35 AM;15.9;11.9;20.3;0;99.9
20/09/2022 1:40 AM;15.8;11.8;20.6;0;99.9
20/09/2022 1:45 AM;15.8;11.8;21.3;0;99.9
20/09/2022 1:50 AM;15.8;11.8;22.2;0;99.9
20/09/2022 1:55 AM;15.8;11.8;23.6;0;99.9
20/09/2022 2:00 AM;15.7;11.8;22.8;0;99.9
20/09/2022 2:05 AM;15.7;11.7;22.3;0;99.9
20/09/2022 2:10 AM;15.7;11.6;21.1;0;99.9
20/09/2022 2:15 AM;15.6;11.5;20;0;99.9
20/09/2022 2:20 AM;15.6;11.4;20.4;0;99.9
20/09/2022 2:25 AM;15.6;11.5;21.1;0;99.9
20/09/2022 2:30 AM;15.6;12.3;21.5;0;99.9
20/09/2022 2:35 AM;15.6;12.5;21.8;0;99.9
20/09/2022 2:40 AM;15.6;12.4;22.8;0;99.9
20/09/2022 2:45 AM;15.6;12.3;25.3;0;99.9
20/09/2022 2:50 AM;15.6;12.3;23.3;0;99.9
20/09/2022 2:55 AM;15.6;12.1;22.9;0;99.9
20/09/2022 3:00 AM;15.5;12;23.1;0;99.9
20/09/2022 3:05 AM;15.5;12;23.1;0;99.9
20/09/2022 3:10 AM;15.5;11.8;23.2;0;99.9
20/09/2022 3:15 AM;15.5;11.7;23.4;0;99.9
20/09/2022 3:20 AM;15.5;11.6;22.6;0;99.9
20/09/2022 3:25 AM;15.5;11.6;21.7;0;99.9
20/09/2022 3:30 AM;15.4;11.7;21.7;0;99.9
20/09/2022 3:35 AM;15.5;11.6;21.8;0;99.9
20/09/2022 3:40 AM;15.5;11.6;22.4;0;99.9
20/09/2022 3:45 AM;15.4;11.6;22.5;0;99.9
20/09/2022 3:50 AM;15.4;11.6;22.6;0;99.9
20/09/2022 3:55 AM;15.3;11.6;22.8;0;99.9
