local_time,kastemperatuur,buitentemperatuur,onderbuis,wind_zijde_raamstand,energiedoek
18/09/2022 4:05 PM,18.6,13.4,33,0,0
18/09/2022 4:10 PM,18.5,13.5,32.5,0,0
18/09/2022 4:15 PM,18.5,13.5,32.3,0,0
18/09/2022 4:20 PM,18.4,13.9,32.1,0.6,0
18/09/2022 4:25 PM,18.4,13.8,32.8,0.6,0
18/09/2022 4:30 PM,18.3,13.5,34,0,0
18/09/2022 4:35 PM,18.1,13.6,34.5,0,0
18/09/2022 4:40 PM,18.1,13.6,31.6,0.6,0
18/09/2022 4:45 PM,18.1,13.7,28.8,0,0
18/09/2022 4:50 PM,18,13.7,27.9,0.6,0
18/09/2022 4:55 PM,18,13.9,27.2,0,0.1
18/09/2022 5:00 PM,17.9,13.1,26.5,0,8.4
18/09/2022 5:05 PM,17.8,13.4,26.1,0,16.8
18/09/2022 5:10 PM,17.7,13.2,25.5,0,25.1
18/09/2022 5:15 PM,17.6,13.2,24.9,0,33.4
18/09/2022 5:20 PM,17.6,13.5,24.4,0,41.8
18/09/2022 5:25 PM,17.5,13.7,24.1,0.6,50.1
18/09/2022 5:30 PM,17.4,13.6,23.7,0,58.5
18/09/2022 5:35 PM,17.5,13.2,23.5,0,66.8
18/09/2022 5:40 PM,17.4,13.1,23.3,0.6,74.9
18/09/2022 5:45 PM,17.5,12.5,23.3,0.6,80
18/09/2022 5:50 PM,17.4,12.4,23.5,0,83.5
18/09/2022 5:55 PM,17.5,12.6,23.7,0,86.9
18/09/2022 6:00 PM,17.5,12.9,23.9,0,90.1
18/09/2022 6:05 PM,17.5,13,23.7,0,93.2
18/09/2022 6:10 PM,17.4,12.5,23.7,0.6,96.4
18/09/2022 6:15 PM,17.4,12.6,23.7,0,99.5
18/09/2022 6:20 PM,17.4,12.7,23.5,0,100
18/09/2022 6:25 PM,17.5,12.7,23.5,1.5,100
18/09/2022 6:30 PM,17.5,13,23.3,1.2,100
18/09/2022 6:35 PM,17.5,13.3,23.2,1.5,100
18/09/2022 6:40 PM,17.5,13.7,23.1,0.6,100
18/09/2022 6:45 PM,17.5,13.5,23.1,0.6,100
18/09/2022 6:50 PM,17.4,13.5,22.9,0,100
18/09/2022 6:55 PM,17.4,13.4,22.8,0,100
18/09/2022 7:00 PM,17.4,13.2,22.6,0,100
18/09/2022 7:05 PM,17.3,12.9,25.3,0.6,100
18/09/2022 7:10 PM,17.3,12.8,32.4,0.6,100
18/09/2022 7:15 PM,17.3,12.9,33,0,100
18/09/2022 7:20 PM,17.3,13.1,34.5,0.6,100
18/09/2022 7:25 PM,17.3,13.3,35.3,0,100
18/09/2022 7:30 PM,17.4,13.6,43.6,0,100
18/09/2022 7:35 PM,17.5,13.5,41.2,0.6,100
18/09/2022 7:40 PM,17.4,12.9,39.3,0,100
18/09/2022 7:45 PM,17.6,13.3,38.5,0.6,100
18/09/2022 7:50 PM,17.7,13.2,36.2,0,100
18/09/2022 7:55 PM,17.7,13.6,33.1,15.1,100
18/09/2022 8:00 PM,17.7,13.8,32.1,15.1,98.7
18/09/2022 8:05 PM,17.6,14,35.5,15.2,97.5
18/09/2022 8:10 PM,17.3,14.1,34.5,15.1,96
18/09/2022 8:15 PM,17,13.9,33.2,0.6,94.3
18/09/2022 8:20 PM,16.9,13.4,31.8,1.5,91.7
