local_time;kastemperatuur;buitentemperatuur;onderbuis;wind_zijde_raamstand;energiedoek
2/10/2022 15:55;28.8;17.1;30.4;15.7;0
2/10/2022 16:00;27.9;17.1;30.3;11.6;0
2/10/2022 16:05;27.5;17.1;30.3;11.5;0
2/10/2022 16:10;27.7;17.1;30;11.5;0
2/10/2022 16:15;27.8;17.6;30.1;9.8;0
2/10/2022 16:20;28.1;17.3;30.1;9.8;0
2/10/2022 16:25;28;17.1;29.9;8.1;0
2/10/2022 16:30;28.3;16.8;30;8.1;0
2/10/2022 16:35;28.2;17;29.9;6.9;0
2/10/2022 16:40;28.6;16.8;29.9;6.9;0
2/10/2022 16:45;28.6;16.6;29.9;6.9;0
2/10/2022 16:50;28.5;16.6;29.7;6.9;0
2/10/2022 16:55;28.6;16.7;29.7;5.2;0
2/10/2022 17:00;28.4;16.5;29.6;5.2;0
2/10/2022 17:05;28.3;16.4;29.6;5.2;0
2/10/2022 17:10;28.1;16.3;29.4;5.2;0
2/10/2022 17:15;28;16.1;29.3;5.2;0
2/10/2022 17:20;27.7;16.1;29.6;5.1;0
2/10/2022 17:25;27.6;16;29.4;5.2;0
2/10/2022 17:30;27.3;15.8;29.2;5.2;0
2/10/2022 17:35;27;15.8;29.2;5.2;0
2/10/2022 17:40;26.4;15.6;29;5.2;0
2/10/2022 17:45;26.1;15.6;28.8;5.2;0
2/10/2022 17:50;25.7;15.7;28.8;5.2;0
2/10/2022 17:55;25.3;15.6;28.6;5.1;0
2/10/2022 18:00;24.9;15.5;28.4;5.2;72.5
2/10/2022 18:05;24.9;15.5;28.4;5.1;89.4
2/10/2022 18:10;24.5;15.4;28;5.2;91.9
2/10/2022 18:15;24.2;15.3;27.9;5.2;93.3
2/10/2022 18:20;23.9;15.3;27.7;5.1;93.3
2/10/2022 18:25;23.6;15.1;28.5;5.2;97.2
2/10/2022 18:30;23;15;29.1;5.2;98.9
2/10/2022 18:35;22.7;14.9;29.2;5.1;98.9
2/10/2022 18:40;22.4;14.8;29.6;5.1;98.9
2/10/2022 18:45;22.1;14.5;30.2;5.1;98.8
2/10/2022 18:50;21.9;14.4;30.3;5.1;98.9
2/10/2022 18:55;21.5;14.3;30.5;5.1;98.9
2/10/2022 19:00;21.4;14.1;30.3;5.1;98.8
2/10/2022 19:05;21;13.9;30.1;5.1;98.9
2/10/2022 19:10;20.7;13.7;30.1;5.1;99.9
2/10/2022 19:15;20.5;13.5;29.4;5.1;99
2/10/2022 19:20;20.4;13.4;28.6;5;99
2/10/2022 19:25;20.1;13.2;28.6;5;98.9
2/10/2022 19:30;20;13.1;28.4;5;99.6
2/10/2022 19:35;20.1;13;27.4;5;99.6
2/10/2022 19:40;20;12.8;27.9;5;99.6
2/10/2022 19:45;20.1;12.6;28.4;5;99.6
2/10/2022 19:50;19.9;12.5;28.2;4.9;99.6
2/10/2022 19:55;19.7;12.3;28.6;5;99.6
2/10/2022 20:00;19.6;12.3;28.9;4.9;99.6
2/10/2022 20:05;19.5;12.2;29;5;99.6
2/10/2022 20:10;19.6;12.1;29;5;99.6
2/10/2022 20:15;19.6;11.9;29.3;5;99.6
2/10/2022 20:20;19.6;11.8;29.2;4.9;99.6
