local_time,dauwpuntstemp,kastemperatuur,plant
17/05/2022 1:55 PM,18.90382,24.7,26
17/05/2022 2:00 PM,18.62096,24.5,25
17/05/2022 2:05 PM,17.18274,23.7,22.7
17/05/2022 2:10 PM,17.40886,23.4,23.3
17/05/2022 2:15 PM,16.96132,23.1,22.6
17/05/2022 2:20 PM,17.97991,23.2,23.5
17/05/2022 2:25 PM,17.67571,23.8,23.6
17/05/2022 2:30 PM,17.20679,23.8,23.4
17/05/2022 2:35 PM,17.84345,24,23.1
17/05/2022 2:40 PM,17.53631,23.8,24.9
17/05/2022 2:45 PM,17.80118,24.3,24.6
17/05/2022 2:50 PM,18.57852,24.6,25.4
17/05/2022 2:55 PM,17.31494,24.5,24.5
17/05/2022 3:00 PM,18.44357,24.9,26.3
17/05/2022 3:05 PM,18.65699,25,24.8
17/05/2022 3:10 PM,17.31839,24.4,23.5
17/05/2022 3:15 PM,16.95696,24.2,23.3
17/05/2022 3:20 PM,18.11983,24,24.1
17/05/2022 3:25 PM,18.49332,24.2,24
17/05/2022 3:30 PM,18.60458,24.7,24.2
17/05/2022 3:35 PM,16.8623,24.1,22.9
17/05/2022 3:40 PM,17.08283,24.1,23.2
17/05/2022 3:45 PM,17.41972,24.2,23.6
17/05/2022 3:50 PM,17.13147,24.1,23.3
17/05/2022 3:55 PM,17.18164,24,23.5
17/05/2022 4:00 PM,17.15755,24,23.3
17/05/2022 4:05 PM,17.53919,24,23.4
17/05/2022 4:10 PM,17.06087,24,23.2
17/05/2022 4:15 PM,17.91294,24,23.7
17/05/2022 4:20 PM,18.55538,24.1,24.2
17/05/2022 4:25 PM,18.0145,24.4,24.4
17/05/2022 4:30 PM,19.22933,24.5,24.2
17/05/2022 4:35 PM,18.0628,24.7,24.4
17/05/2022 4:40 PM,17.38062,24.7,23.6
17/05/2022 4:45 PM,17.01699,24.5,23.6
17/05/2022 4:50 PM,16.71393,24.8,24.1
17/05/2022 4:55 PM,16.42858,25,24.7
17/05/2022 5:00 PM,16.84275,25.3,24.7
17/05/2022 5:05 PM,16.45248,25.4,24.3
17/05/2022 5:10 PM,19.10902,25.4,25
17/05/2022 5:15 PM,18.04283,25.4,24.6
17/05/2022 5:20 PM,18.26956,25.3,24.7
17/05/2022 5:25 PM,19.58747,25.2,24.7
17/05/2022 5:30 PM,20.16738,25.2,24.9
17/05/2022 5:35 PM,20.27683,25.2,26.2
17/05/2022 5:40 PM,18.61036,26,27
17/05/2022 5:45 PM,18.53901,26.3,27.2
17/05/2022 5:50 PM,18.47026,26.2,25.7
17/05/2022 5:55 PM,19.08048,26,25.5
17/05/2022 6:00 PM,19.08048,26,25.5
17/05/2022 6:05 PM,19.91982,26.4,26.1
17/05/2022 6:10 PM,19.84285,26.7,26.5
17/05/2022 6:15 PM,19.9179,26.6,25.7
17/05/2022 6:20 PM,19.58562,26.2,24.9
17/05/2022 6:25 PM,18.93667,25.9,24.5
17/05/2022 6:30 PM,19.9709,25.6,24.9
17/05/2022 6:35 PM,19.48736,25.6,25
17/05/2022 6:40 PM,19.55434,25.5,25.4
17/05/2022 6:45 PM,18.20701,25.6,25.4
17/05/2022 6:50 PM,18.47118,25.8,25.2
17/05/2022 6:55 PM,19.2289,25.6,24.8
17/05/2022 7:00 PM,18.3453,25.2,23.8
17/05/2022 7:05 PM,16.86615,24.5,23.2
17/05/2022 7:10 PM,18.03433,24.2,23.1
17/05/2022 7:15 PM,18.48791,24.1,23.4
17/05/2022 7:20 PM,19.11107,24.4,24.1
17/05/2022 7:25 PM,19.31022,24.7,24
17/05/2022 7:30 PM,19.11342,24.8,24.1
17/05/2022 7:35 PM,19.08556,24.7,23.9
17/05/2022 7:40 PM,18.69367,24.6,23.9
17/05/2022 7:45 PM,18.0145,24.4,23.4
17/05/2022 7:50 PM,18.9852,24.2,23.1
17/05/2022 7:55 PM,19.14199,24,23.1
17/05/2022 8:00 PM,18.63063,23.9,22.9
17/05/2022 8:05 PM,18.64457,23.8,22.7
17/05/2022 8:10 PM,18.42161,23.5,22.3
17/05/2022 8:15 PM,18.03204,23.3,22.3
