local_time;status_temperatuur;temperatuur_hoog;temperatuur_laag;kastemperatuur
19/09/2022 3:00 PM;0;28;18;24.3
19/09/2022 3:05 PM;0;28;18;24.3
19/09/2022 3:10 PM;0;28;18;24.2
19/09/2022 3:15 PM;0;28;18;23.7
19/09/2022 3:20 PM;0;28;18;23.2
19/09/2022 3:25 PM;0;28;18;22.8
19/09/2022 3:30 PM;0;27;17;22.3
19/09/2022 3:35 PM;0;27;17;21.9
19/09/2022 3:40 PM;0;27;17;21.6
19/09/2022 3:45 PM;0;27;17;21.6
19/09/2022 3:50 PM;0;27;17;21.8
19/09/2022 3:55 PM;0;27;17;21.7
19/09/2022 4:00 PM;0;27;17;21.8
19/09/2022 4:05 PM;0;27;17;22
19/09/2022 4:10 PM;0;27;17;21.9
19/09/2022 4:15 PM;0;27;17;22.1
19/09/2022 4:20 PM;0;27;17;22.1
19/09/2022 4:25 PM;0;27;17;22.3
19/09/2022 4:30 PM;0;27;17;22.1
19/09/2022 4:35 PM;0;27;17;22
19/09/2022 4:40 PM;0;24;16;21.8
19/09/2022 4:45 PM;0;24;16;21.5
19/09/2022 4:50 PM;0;27;17;21.4
19/09/2022 4:55 PM;0;24;16;21.4
19/09/2022 5:00 PM;0;24;16;21.3
19/09/2022 5:05 PM;1;20;15;21.2
19/09/2022 5:10 PM;1;20;15;21
19/09/2022 5:15 PM;0;24;16;20.8
19/09/2022 5:20 PM;0;24;16;20.8
19/09/2022 5:25 PM;0;24;16;20.8
19/09/2022 5:30 PM;0;24;16;20.9
19/09/2022 5:35 PM;0;24;16;20.9
19/09/2022 5:40 PM;1;20;15;20.8
19/09/2022 5:45 PM;0;24;16;20.8
19/09/2022 5:50 PM;0;24;16;20.8
19/09/2022 5:55 PM;0;24;16;20.9
19/09/2022 6:00 PM;0;27;17;21
19/09/2022 6:05 PM;0;24;16;21.2
19/09/2022 6:10 PM;0;24;16;21.2
19/09/2022 6:15 PM;0;24;16;21.1
19/09/2022 6:20 PM;1;20;15;21.1
19/09/2022 6:25 PM;1;20;15;21
19/09/2022 6:30 PM;0;24;16;21
19/09/2022 6:35 PM;0;24;16;21
19/09/2022 6:40 PM;1;20;15;21
19/09/2022 6:45 PM;1;20;15;20.9
19/09/2022 6:50 PM;1;20;15;20.8
19/09/2022 6:55 PM;1;20;15;20.8
19/09/2022 7:00 PM;1;20;15;20.7
19/09/2022 7:05 PM;1;20;15;20.7
19/09/2022 7:10 PM;1;20;15;20.5
19/09/2022 7:15 PM;1;20;15;20.4
19/09/2022 7:20 PM;1;20;15;20.3
19/09/2022 7:25 PM;1;20;15;20.2
19/09/2022 7:30 PM;0;20;15;20
19/09/2022 7:35 PM;0;20;15;19.8
19/09/2022 7:40 PM;0;20;15;19.5
19/09/2022 7:45 PM;0;20;15;19.2
19/09/2022 7:50 PM;0;20;15;19.1
19/09/2022 7:55 PM;0;20;15;18.9
19/09/2022 8:00 PM;0;20;15;18.8
19/09/2022 8:05 PM;0;20;15;18.7
19/09/2022 8:10 PM;0;20;15;18.5
19/09/2022 8:15 PM;0;20;15;18.4
19/09/2022 8:20 PM;0;20;15;18.2
19/09/2022 8:25 PM;0;20;15;18
19/09/2022 8:30 PM;0;20;15;17.9
19/09/2022 8:35 PM;0;20;15;17.8
19/09/2022 8:40 PM;0;20;15;17.7
19/09/2022 8:45 PM;0;20;15;17.7
