local_time;kastemperatuur;buitentemperatuur;energiedoek;absoluut vochtgehalte kaslucht boven doek;absoluut vochtgehalte meetbox onder;kastemperatuur meetbox onder;kastemperatuur boven doek
17/05/2022 13:55;24.7;23.1;80;14.90408;15.72073;23.9;27.7
17/05/2022 14:00;24.5;22.7;80;14.1698;15.17355;23.8;27.5
17/05/2022 14:05;23.7;22.7;80;16.57533;15.01549;23.4;27.2
17/05/2022 14:10;23.4;22.4;0;15.01162;14.50472;23.1;26.5
17/05/2022 14:15;23.1;22.6;0;15.58021;14.46174;23;26.2
17/05/2022 14:20;23.2;22.5;0;15.24288;14.46174;23;26.1
17/05/2022 14:25;23.8;23;0;16.78344;14.84567;23.4;26.6
17/05/2022 14:30;23.8;23.2;0;14.95122;14.84567;23.4;26.4
17/05/2022 14:35;24;23;0;16.51017;14.7594;23.3;26.5
17/05/2022 14:40;23.8;22.9;0;16.66643;14.91105;23.5;26.8
17/05/2022 14:45;24.3;23.5;0;16.8185;15.17455;23.9;27.4
17/05/2022 14:50;24.6;23.5;0;17.01428;15.44102;24.2;28
17/05/2022 14:55;24.5;23;0;15.7129;15.15301;24;27.6
17/05/2022 15:00;24.9;23.4;0;16.2539;15.24089;24.2;27.6
17/05/2022 15:05;25;23.6;0;16.83561;15.26104;24.4;27.9
17/05/2022 15:10;24.4;23.7;0;15.92934;15.08342;24.3;27.6
17/05/2022 15:15;24.2;23.9;0;16.08703;14.69128;24;27.1
17/05/2022 15:20;24;23.8;0;14.77991;14.2428;23.7;26.8
17/05/2022 15:25;24.2;23.6;0;15.61383;14.41574;23.7;27.1
17/05/2022 15:30;24.7;24;0;16.17705;14.93317;24;27.4
17/05/2022 15:35;24.1;23.8;0;15.51844;14.7172;23.8;26.7
17/05/2022 15:40;24.1;23.9;0;15.71106;14.73992;23.7;26.6
17/05/2022 15:45;24.2;24;0;14.58632;14.61026;23.7;26.6
17/05/2022 15:50;24.1;23.9;0;15.24274;14.35089;23.7;26.3
17/05/2022 15:55;24;24.2;0;14.71504;14.28911;23.6;26.3
17/05/2022 16:00;24;24.2;0;14.71504;14.24613;23.6;26.3
17/05/2022 16:05;24;23.9;0;14.56422;14.26442;23.7;26.3
17/05/2022 16:10;24;23.9;0;16.16363;14.35359;23.6;26.4
17/05/2022 16:15;24;23.9;0;14.72373;14.46103;23.6;26.4
17/05/2022 16:20;24.1;24.3;0;15.2614;14.71886;23.6;26.7
17/05/2022 16:25;24.4;25;0;16.75317;15.26045;23.8;27
17/05/2022 16:30;24.5;24.7;0;15.09866;15.39478;24;26.9
17/05/2022 16:35;24.7;25.2;0;14.9758;15.72747;24.1;27
17/05/2022 16:40;24.7;25.9;0;14.85001;15.57548;24.3;26.7
17/05/2022 16:45;24.5;26.1;0;14.73447;15.04073;24.2;26.9
17/05/2022 16:50;24.8;25.4;0;14.08923;14.85967;24.3;27.3
17/05/2022 16:55;25;25.3;0;13.87497;14.52792;24.6;27.4
17/05/2022 17:00;25.3;25.5;0;14.74487;14.48073;24.9;28.1
17/05/2022 17:05;25.4;25.6;0;14.39849;14.36744;25.1;28.5
17/05/2022 17:10;25.4;26;0;14.91299;14.10974;24.9;28.3
17/05/2022 17:15;25.4;25.6;0;14.18386;14.24887;24.9;28.2
17/05/2022 17:20;25.3;26;0;14.10699;14.3973;24.8;28
17/05/2022 17:25;25.2;24.9;0;14.22011;14.76603;24.8;27.9
17/05/2022 17:30;25.2;25.4;0;14.25019;15.07031;24.7;27.7
17/05/2022 17:35;25.2;25.5;0;14.90684;15.48421;24.6;27.8
17/05/2022 17:40;26;25.3;0;15.45501;16.37984;24.9;28.6
17/05/2022 17:45;26.3;25;0;15.05261;16.66711;25.3;28.7
17/05/2022 17:50;26.2;25;0;14.582;16.49945;25.6;28.9
17/05/2022 17:55;26;24.8;0;13.39669;15.76277;25.4;28.8
17/05/2022 18:00;26;24.9;0;13.20972;15.24562;25.3;28.9
17/05/2022 18:05;26.4;25.6;0;12.93183;15.42903;25.4;28.8
17/05/2022 18:10;26.7;25.4;0;14.00845;16.01746;25.6;29.4
17/05/2022 18:15;26.6;24.8;0;14.9745;16.39757;25.8;29.3
17/05/2022 18:20;26.2;24.6;0;13.50186;16.16529;25.5;28.9
17/05/2022 18:25;25.9;24.4;0;13.35228;15.93565;25.2;28.4
17/05/2022 18:30;25.6;24.3;0;13.69615;15.66232;24.9;27.9
17/05/2022 18:35;25.6;24.1;0;13.45395;15.87069;24.9;27.8
17/05/2022 18:40;25.5;24.1;0;14.33047;16.07901;24.9;27.4
17/05/2022 18:45;25.6;23.9;0;13.73857;16.38309;25.2;27.5
17/05/2022 18:50;25.8;23.6;0;14.33195;16.19351;25.3;27.7
17/05/2022 18:55;25.6;23.7;0;14.35841;15.65981;25;27.5
17/05/2022 19:00;25.2;23.2;0;14.35346;15.3803;25;27.2
17/05/2022 19:05;24.5;22.9;5;13.33223;14.92731;24.8;26.6
17/05/2022 19:10;24.2;22.8;88;13.50563;14.50675;24.2;26.2
17/05/2022 19:15;24.1;22.7;88;13.63377;14.81491;24.3;25.7
17/05/2022 19:20;24.4;22.9;87;13.01042;15.23854;24.4;25.2
17/05/2022 19:25;24.7;22.7;87;13.17579;15.96302;24.7;25.2
17/05/2022 19:30;24.8;22.9;82;13.07122;16.28328;24.7;25
17/05/2022 19:35;24.7;22.8;82;13.3348;16.28328;24.7;25.1
17/05/2022 19:40;24.6;22.9;85;13.91016;15.9133;24.4;25.5
17/05/2022 19:45;24.4;22.7;85;13.3348;15.82336;24.4;25.1
17/05/2022 19:50;24.2;22.7;88;12.96714;15.6202;24.3;24.8
17/05/2022 19:55;24;22.7;88;13.03878;15.50466;24;24.5
17/05/2022 20:00;23.9;22.6;90;12.93915;15.81586;24.1;24.1
17/05/2022 20:05;23.8;22.5;90;13.20576;15.87815;24;23.9
17/05/2022 20:10;23.5;22.3;90;13.27845;15.87824;23.6;23.6
17/05/2022 20:15;23.3;22.3;90;13.81031;15.56721;23.4;23.7
17/05/2022 20:20;23.1;22.3;90;13.68053;15.339;23.1;23.7
17/05/2022 20:25;23.1;22.6;90;14.41574;15.33263;23;23.7
17/05/2022 20:30;23;22.4;90;14.3106;15.53987;23;23.6
17/05/2022 20:35;22.9;22.4;90.6;14.08111;15.77894;22.9;23.4
17/05/2022 20:40;22.8;22.6;90.6;14.35571;16.04664;22.9;23.5
17/05/2022 20:45;22.8;22.5;97.3;14.14993;16.23193;22.9;23.1
17/05/2022 20:50;22.7;22.7;97.3;13.2108;16.52662;23.1;22.7
17/05/2022 20:55;22.6;22.6;100;13.82321;16.54744;23.1;22.6
17/05/2022 21:00;22.6;22.3;100;12.98426;16.60991;23.1;22.3
17/05/2022 21:05;22.5;22.3;91;12.76635;16.40341;22.8;21.6
17/05/2022 21:10;22.2;22.1;91;13.97653;16.29361;22.6;21.7
17/05/2022 21:15;22;21.9;88;14.77303;15.95022;22.3;21.6
17/05/2022 21:20;21.3;21.5;88;14.74315;15.31495;21.8;21.5
17/05/2022 21:25;20.9;21.2;95.5;14.65646;14.98301;21.6;21.4
17/05/2022 21:30;20.8;21;95.5;14.1483;14.65646;21.4;21
17/05/2022 21:35;20.6;20.8;89.5;14.06903;14.52173;21.2;20.6
17/05/2022 21:40;20.2;20.5;89.5;14.68348;14.39464;20.9;20.5
17/05/2022 21:45;20.1;20.1;88;14.55495;14.33375;20.7;20.6
17/05/2022 21:50;19.8;19.9;88;14.59406;14.16983;20.4;20.5
17/05/2022 21:55;19.7;19.7;85;14.35108;13.97178;20.1;20.3
17/05/2022 22:00;19.5;19.3;85;14.06254;14.1606;20.2;20
17/05/2022 22:05;19.2;19.1;85;13.92724;13.72802;19.7;19.9
17/05/2022 22:10;19;19;85;13.89596;13.62936;19.6;19.8
17/05/2022 22:15;19;18.9;85;13.05383;13.66328;19.6;19.3
17/05/2022 22:20;18.7;18.7;85;13.19486;13.34038;19.2;19.1
17/05/2022 22:25;18.6;18.5;85;13.14546;13.34304;19.1;19.1
17/05/2022 22:30;18.4;18.3;85;13.00503;13.33042;18.9;18.9
17/05/2022 22:35;18.4;18.1;85;13.26331;13.25168;18.7;19
17/05/2022 22:40;18.3;17.9;85;13.29788;13.42847;18.7;18.9
17/05/2022 22:45;18.1;17.8;85;13.34767;13.41191;18.6;18.8
17/05/2022 22:50;18;17.8;85;13.21954;13.39502;18.5;18.7
17/05/2022 22:55;17.8;17.8;85;13.15631;13.4109;18.5;18.6
17/05/2022 23:00;17.7;17.8;85;13.25212;13.15524;18.2;18.5
17/05/2022 23:05;17.6;17.7;85;13.1406;13.25043;18.3;18.3
